,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
219,1,0,3.8,918,1,16,482,800.0,5004
220,1,0,4.0,465,30,20,1593,600.0,2701
221,1,1,4.1,970,30,54,1309,1500.0,5004
222,1,0,3.3,128,1,62,1192,300.0,5004
223,1,0,3.6,241,46,62,1192,300.0,5004
224,1,0,4.3,734,1,62,1593,200.0,3136
225,1,0,3.8,130,30,62,1177,400.0,5004
226,1,0,4.2,261,30,13,387,700.0,5004
227,1,0,4.0,191,46,62,1594,300.0,122
228,1,0,4.1,364,4,20,1562,550.0,125
229,1,0,3.9,888,1,20,1430,750.0,2694
230,1,0,3.9,750,4,20,1273,500.0,3325
231,1,1,4.2,164,1,13,378,500.0,5004
232,1,0,3.8,527,4,20,1152,500.0,5004
233,0,0,4.3,345,1,30,952,400.0,5004
234,0,0,4.4,356,1,69,1112,150.0,5004
235,1,0,3.9,38,1,30,945,150.0,1799
236,1,0,3.9,116,1,30,955,400.0,2615
237,1,0,3.8,918,1,16,482,800.0,5004
238,1,0,3.8,144,1,13,531,700.0,5004
239,1,0,4.3,860,1,30,787,500.0,5004
240,0,0,3.8,45,1,72,173,400.0,5004
241,1,0,3.9,70,1,30,844,400.0,5004
242,0,0,4.0,98,4,70,1119,400.0,5004
243,1,0,4.0,219,4,13,453,600.0,4769
244,1,0,4.0,73,4,0,192,300.0,2993
245,1,0,2.7,97,4,20,1593,400.0,5004
246,1,0,3.9,888,1,20,1430,750.0,2693
247,1,1,4.0,349,1,20,1515,1200.0,1148
248,1,0,4.2,287,1,62,1152,350.0,5004
249,1,1,4.6,2556,1,22,1464,600.0,5004
250,1,1,4.2,354,1,20,149,800.0,620
251,1,1,4.1,775,1,20,1382,800.0,5004
252,1,1,4.2,2115,1,20,1477,800.0,5004
253,0,1,3.8,977,1,46,876,1300.0,5004
254,0,0,4.1,868,1,57,702,1200.0,5004
255,1,0,4.0,324,1,13,460,700.0,4422
256,1,0,4.1,787,1,20,592,800.0,5004
257,1,0,4.2,504,1,13,483,550.0,909
258,1,0,4.1,402,1,13,330,500.0,3387
259,1,1,4.2,150,1,13,460,600.0,1375
260,1,1,4.2,164,1,13,378,500.0,2002
261,0,0,4.2,244,1,20,996,800.0,5004
262,1,0,4.0,771,1,20,1585,450.0,4507
263,1,0,4.2,1647,1,20,607,600.0,5004
264,0,1,4.0,808,1,20,1192,850.0,5004
265,0,0,4.0,424,1,13,381,450.0,5004
266,1,0,3.9,135,1,20,1218,800.0,3612
267,1,0,3.8,918,1,16,482,800.0,5004
268,1,0,3.8,90,1,13,330,650.0,5004
269,1,0,3.9,519,1,20,559,900.0,5004
270,1,0,3.6,105,1,20,1674,700.0,5004
271,1,0,3.9,133,1,13,439,800.0,1287
272,1,0,3.8,144,1,13,531,700.0,5004
273,0,0,3.9,93,1,13,454,300.0,5004
274,1,0,3.8,42,1,62,1585,300.0,2861
275,1,0,2.5,247,1,20,1152,500.0,2824
276,1,0,3.0,62,1,13,442,400.0,2384
277,1,0,3.8,160,1,20,1192,700.0,4014
278,1,0,3.6,129,1,20,1087,600.0,1316
279,0,0,3.3,62,1,4,1585,800.0,5004
280,0,0,2.6,283,1,20,1152,600.0,5004
281,1,0,3.8,59,1,20,1192,750.0,5004
282,1,0,3.5,179,1,20,1204,600.0,3557
283,0,0,3.8,62,1,62,1557,150.0,5004
284,0,0,3.0,98,1,4,1192,800.0,5004
285,0,0,2.7,128,1,20,602,850.0,5004
286,1,0,2.8,45,1,20,1479,800.0,2140
287,1,0,3.5,41,75,44,1471,400.0,5004
288,1,0,3.7,405,1,20,1470,750.0,4188
289,1,0,3.9,388,1,20,297,650.0,947
290,0,0,4.7,651,1,62,1543,100.0,5004
291,1,0,4.3,734,1,62,1593,200.0,4656
292,0,0,4.0,1047,1,62,976,450.0,5004
293,1,0,3.8,505,1,62,320,450.0,658
294,1,0,3.9,264,1,62,1543,200.0,3187
295,1,0,3.9,286,1,62,320,500.0,3350
296,0,0,4.4,343,1,62,1543,100.0,5004
297,0,0,3.8,70,1,62,819,500.0,5004
298,1,0,3.8,70,1,62,1543,100.0,124
299,1,0,3.7,237,1,62,1567,200.0,2022
300,1,0,4.1,201,1,62,1593,300.0,1895
301,1,0,2.8,506,1,62,1328,500.0,5004
302,0,0,4.1,520,1,62,246,300.0,5004
303,0,0,3.7,88,1,62,1583,300.0,5004
304,1,0,3.7,136,1,62,1503,600.0,853
305,0,0,3.9,88,1,62,1543,250.0,5004
306,0,0,3.8,189,1,62,1543,300.0,5004
307,0,0,3.8,39,1,62,1559,350.0,5004
308,1,0,3.9,540,1,62,1470,800.0,3090
309,0,0,3.6,71,1,62,1412,250.0,5004
310,1,0,3.5,88,1,62,1588,350.0,1025
311,1,0,3.0,87,1,62,1472,600.0,3456
312,1,0,4.2,415,1,62,1186,500.0,1011
313,1,0,3.3,128,1,62,1192,300.0,1846
314,0,0,4.1,94,1,62,1543,100.0,5004
315,0,0,3.7,65,1,62,871,300.0,5004
316,0,0,3.5,52,1,62,1543,300.0,5004
317,1,0,3.0,290,1,62,1211,450.0,62
318,1,0,3.7,59,1,62,1447,200.0,5004
319,0,0,3.7,130,1,62,1543,200.0,5004
320,1,0,3.5,80,1,62,1666,250.0,4225
321,1,0,3.9,441,1,62,1588,400.0,1992
322,1,0,3.6,84,1,62,1585,250.0,733
323,0,0,4.0,42,1,62,1611,300.0,5004
324,1,0,3.0,213,1,62,1424,400.0,4326
325,0,0,4.2,725,30,62,1548,350.0,5004
326,1,0,3.9,750,4,20,1273,500.0,3283
327,0,0,3.8,166,4,20,1402,600.0,5004
328,0,0,4.4,4460,4,62,1543,150.0,5004
329,0,0,3.9,153,4,20,1543,350.0,5004
330,1,0,3.8,469,4,20,1204,750.0,1766
